Model,Target,Target_class,N,RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2
mfe,O60674,Kinase,22,0.824,0.678,-0.244,-0.043,-0.009,0.496,0.013
mfe,O60885,Epigenetic regulator,175,0.932,0.869,0.435,0.434,0.301,0.651,0.182
mfe,O75116,Kinase,43,1.155,1.334,0.024,0.047,0.038,0.519,0.0
mfe,O75874,Oxidoreductase,27,1.446,2.091,0.132,0.1,0.054,0.527,0.014
mfe,O94925,Hydrolase,73,0.587,0.344,0.389,0.264,0.186,0.593,0.073
mfe,O96028,Epigenetic regulator,30,0.78,0.609,-0.24,-0.105,-0.076,0.462,0.003
mfe,P00533,Kinase,102,0.96,0.923,0.13,0.131,0.087,0.544,0.009
mfe,P00915,Lyase,240,0.971,0.942,0.142,0.086,0.055,0.528,0.012
mfe,P00918,Lyase,256,0.942,0.887,0.063,-0.085,-0.062,0.469,0.002
mfe,P01116,Hydrolase,32,1.079,1.165,0.53,0.578,0.404,0.702,0.268
mfe,P03372,Transcription factor,64,2.366,5.597,0.194,0.349,0.245,0.623,0.033
mfe,P04629,Kinase,19,1.016,1.032,0.236,0.319,0.24,0.62,0.035
mfe,P06276,Hydrolase,112,0.962,0.925,0.39,0.42,0.285,0.643,0.134
mfe,P07333,Kinase,25,1.0,1.0,0.186,0.067,0.07,0.535,0.024
mfe,P08183,Transporter,83,1.696,2.877,0.054,-0.026,-0.015,0.492,0.001
mfe,P08684,Cytochrome p450,36,1.987,3.948,-0.625,-0.631,-0.474,0.263,-0.073
mfe,P08908,Family A G protein-coupled receptor,46,1.281,1.642,0.188,0.146,0.108,0.554,0.03
mfe,P0DTD1,Transferase,698,1.322,1.747,0.264,0.283,0.193,0.597,0.066
mfe,P10275,Transcription factor,36,0.802,0.643,0.044,-0.02,-0.024,0.488,0.001
mfe,P14416,Family A G protein-coupled receptor,126,1.056,1.115,0.057,0.122,0.091,0.545,0.002
mfe,P17931,Unclassified protein,37,0.971,0.944,-0.301,-0.397,-0.269,0.365,-0.044
mfe,P21728,Family A G protein-coupled receptor,18,1.267,1.605,-0.609,-0.509,-0.373,0.314,0.031
mfe,P22303,Hydrolase,102,1.994,3.978,0.171,0.246,0.163,0.582,0.013
mfe,P23458,Kinase,43,2.024,4.096,0.435,0.352,0.236,0.618,0.151
mfe,P24941,Kinase,30,0.819,0.671,0.579,0.44,0.274,0.637,0.15
mfe,P27338,Oxidoreductase,91,2.106,4.435,0.182,0.178,0.131,0.565,0.022
mfe,P28223,Family A G protein-coupled receptor,54,1.62,2.625,0.373,0.331,0.23,0.615,0.135
mfe,P28335,Family A G protein-coupled receptor,22,1.813,3.288,0.371,0.434,0.3,0.651,0.133
mfe,P28907,Hydrolase|Transferase,12,2.119,4.489,-0.228,-0.179,-0.154,0.422,0.029
mfe,P29274,Family A G protein-coupled receptor,40,2.152,4.631,0.155,0.271,0.179,0.589,0.013
mfe,P29597,Kinase,21,0.942,0.888,-0.229,-0.356,-0.261,0.368,0.028
mfe,P31153,Transferase,33,1.582,2.502,0.378,0.259,0.224,0.613,0.094
mfe,P34972,Family A G protein-coupled receptor,27,2.137,4.567,0.104,0.248,0.174,0.587,0.007
mfe,P35372,Family A G protein-coupled receptor,34,1.019,1.039,0.309,0.328,0.196,0.598,0.064
mfe,P35408,Family A G protein-coupled receptor,54,1.45,2.103,0.226,0.256,0.16,0.582,0.047
mfe,P35462,Family A G protein-coupled receptor,65,1.122,1.259,0.293,0.171,0.096,0.548,0.076
mfe,P36544,Ion channel,31,1.674,2.801,-0.085,-0.044,-0.032,0.484,-0.004
mfe,P37231,Transcription factor,15,1.997,3.986,-0.074,-0.104,-0.067,0.466,0.001
mfe,P41143,Family A G protein-coupled receptor,41,1.066,1.137,0.629,0.512,0.353,0.677,0.388
mfe,P41145,Family A G protein-coupled receptor,34,1.445,2.089,0.212,0.279,0.187,0.594,0.033
mfe,P42330,Oxidoreductase,60,1.067,1.14,-0.13,-0.144,-0.103,0.448,-0.002
mfe,P42336,Transferase,38,1.399,1.958,-0.127,-0.094,-0.064,0.468,0.006
mfe,P42345,Kinase,52,1.078,1.161,0.101,0.118,0.07,0.535,0.007
mfe,P42866,Family A G protein-coupled receptor,32,0.791,0.625,-0.067,-0.049,-0.048,0.476,-0.0
mfe,P43166,Lyase,116,0.771,0.595,0.274,0.203,0.117,0.559,0.035
mfe,P43490,Unclassified protein,17,0.871,0.759,-0.737,-0.25,-0.179,0.409,-0.237
mfe,P49759,Kinase,20,0.849,0.721,-0.22,-0.214,-0.116,0.441,0.013
mfe,P49841,Kinase,16,1.087,1.181,0.852,0.524,0.393,0.697,0.397
mfe,P50406,Family A G protein-coupled receptor,76,1.028,1.057,0.008,0.061,0.04,0.52,0.0
mfe,P51449,Transcription factor,59,1.405,1.974,0.225,0.308,0.207,0.604,0.037
mfe,P52333,Kinase,20,0.908,0.825,0.691,0.207,0.159,0.58,0.332
mfe,Q00987,Other nuclear protein,88,1.766,3.117,0.772,0.802,0.608,0.805,0.383
mfe,Q03111,Epigenetic regulator,45,1.273,1.621,0.297,0.118,0.078,0.539,0.072
mfe,Q03181,Transcription factor,18,1.201,1.443,0.291,0.29,0.19,0.595,0.069
mfe,Q06124,Phosphatase,32,0.679,0.461,0.241,0.331,0.259,0.63,0.044
mfe,Q12809,Ion channel,95,1.787,3.192,0.031,-0.001,-0.005,0.497,-0.0
mfe,Q13546,Kinase,47,1.462,2.139,0.487,0.46,0.304,0.653,-0.257
mfe,Q13547,Epigenetic regulator,31,0.961,0.924,0.478,0.428,0.276,0.638,0.205
mfe,Q13627,Kinase,18,1.944,3.78,-0.36,-0.298,-0.255,0.373,-0.029
mfe,Q15910,Epigenetic regulator,36,1.039,1.08,0.253,0.343,0.234,0.617,0.028
mfe,Q16790,Lyase,203,0.876,0.768,0.139,0.048,0.033,0.516,0.005
mfe,Q72547,Hydrolase,23,1.634,2.67,0.487,0.327,0.23,0.615,0.236
mfe,Q92918,Kinase,132,0.955,0.912,0.145,0.168,0.119,0.56,0.014
mfe,Q96P20,Unclassified protein,69,1.315,1.73,0.13,0.132,0.091,0.546,0.011
mfe,Q96SW2,Unclassified protein,21,0.601,0.361,-0.389,-0.392,-0.246,0.376,-0.079
mfe,Q99538,Protease,40,1.106,1.224,0.084,0.072,0.054,0.527,0.005
mfe,Q9NXA8,Epigenetic regulator,36,1.081,1.168,0.094,0.117,0.096,0.548,0.005
bapred,C7C422,Hydrolase,22,1.607,2.582,-0.34,-0.056,0.026,0.513,-0.023
bapred,O00444,Kinase,92,1.58,2.497,0.023,-0.039,-0.027,0.486,0.0
bapred,O43570,Lyase,189,0.818,0.67,0.252,0.199,0.136,0.568,0.014
bapred,O60341,Epigenetic regulator,70,1.453,2.112,-0.11,-0.106,-0.065,0.468,-0.002
bapred,O60674,Kinase,22,0.758,0.575,0.273,0.14,0.096,0.548,0.029
bapred,O60885,Epigenetic regulator,175,0.975,0.95,0.47,0.47,0.306,0.653,0.158
bapred,O75116,Kinase,43,0.945,0.893,0.273,0.296,0.189,0.594,0.064
bapred,O75874,Oxidoreductase,27,2.316,5.363,0.19,0.211,0.14,0.57,0.022
bapred,O94925,Hydrolase,73,0.852,0.727,0.504,0.405,0.29,0.645,-0.032
bapred,O96028,Epigenetic regulator,30,0.894,0.8,-0.381,-0.272,-0.177,0.411,-0.051
bapred,P00533,Kinase,102,1.042,1.085,0.097,0.118,0.071,0.535,0.004
bapred,P00915,Lyase,240,1.175,1.38,-0.109,-0.156,-0.096,0.452,0.0
bapred,P00918,Lyase,256,1.043,1.087,0.248,0.16,0.109,0.555,0.015
bapred,P01116,Hydrolase,32,2.082,4.334,0.298,0.334,0.214,0.607,0.072
bapred,P03372,Transcription factor,64,2.276,5.181,-0.471,-0.425,-0.298,0.35,-0.066
bapred,P04629,Kinase,19,0.93,0.864,0.29,0.432,0.31,0.655,0.053
bapred,P06276,Hydrolase,112,1.19,1.416,0.197,0.299,0.195,0.598,0.02
bapred,P07333,Kinase,25,1.362,1.854,-0.117,-0.162,-0.117,0.441,0.003
bapred,P08183,Transporter,83,1.502,2.256,-0.088,-0.034,-0.022,0.489,-0.001
bapred,P08684,Cytochrome p450,36,1.597,2.55,-0.516,-0.519,-0.372,0.314,-0.1
bapred,P08908,Family A G protein-coupled receptor,46,1.471,2.163,-0.438,-0.448,-0.307,0.346,-0.016
bapred,P0DTD1,Transferase,698,1.102,1.214,0.324,0.236,0.16,0.58,0.065
bapred,P10275,Transcription factor,36,1.528,2.333,-0.11,-0.112,-0.067,0.466,-0.007
bapred,P14416,Family A G protein-coupled receptor,126,1.416,2.006,-0.272,-0.215,-0.151,0.424,-0.002
bapred,P17931,Unclassified protein,37,1.14,1.299,-0.096,-0.153,-0.122,0.439,-0.013
bapred,P21728,Family A G protein-coupled receptor,18,1.23,1.512,0.036,0.121,0.085,0.542,0.0
bapred,P22303,Hydrolase,102,2.292,5.252,0.428,0.447,0.318,0.659,0.113
bapred,P23458,Kinase,43,1.941,3.769,0.205,0.194,0.152,0.576,0.037
bapred,P24941,Kinase,30,0.837,0.701,0.302,0.212,0.14,0.57,0.071
bapred,P27338,Oxidoreductase,91,1.447,2.093,-0.136,-0.142,-0.079,0.46,0.004
bapred,P28223,Family A G protein-coupled receptor,54,1.061,1.126,0.326,0.185,0.121,0.561,0.073
bapred,P28335,Family A G protein-coupled receptor,22,0.835,0.698,0.428,0.434,0.326,0.664,0.119
bapred,P28907,Hydrolase|Transferase,12,2.395,5.736,-0.611,-0.561,-0.4,0.297,-0.159
bapred,P29274,Family A G protein-coupled receptor,40,2.509,6.297,0.138,0.12,0.081,0.541,0.013
bapred,P29597,Kinase,21,1.036,1.074,-0.033,-0.156,-0.126,0.436,0.0
bapred,P31153,Transferase,33,0.677,0.459,0.515,0.476,0.316,0.658,0.108
bapred,P34972,Family A G protein-coupled receptor,27,1.178,1.388,-0.157,-0.182,-0.083,0.459,0.007
bapred,P35372,Family A G protein-coupled receptor,34,1.273,1.62,0.286,0.352,0.211,0.605,0.018
bapred,P35408,Family A G protein-coupled receptor,54,1.61,2.591,-0.02,-0.052,-0.034,0.483,0.0
bapred,P35462,Family A G protein-coupled receptor,65,1.432,2.05,-0.142,-0.157,-0.1,0.45,0.006
bapred,P36544,Ion channel,31,0.95,0.902,0.196,0.201,0.157,0.579,-0.002
bapred,P37231,Transcription factor,15,1.173,1.376,0.298,0.286,0.232,0.617,0.048
bapred,P41143,Family A G protein-coupled receptor,41,1.06,1.124,0.545,0.415,0.289,0.645,0.22
bapred,P41145,Family A G protein-coupled receptor,34,1.527,2.33,0.008,0.118,0.087,0.544,0.0
bapred,P42330,Oxidoreductase,60,0.884,0.782,0.068,0.079,0.054,0.527,0.001
bapred,P42336,Transferase,38,1.624,2.639,0.274,0.288,0.218,0.609,0.05
bapred,P42345,Kinase,52,1.149,1.319,0.069,0.024,0.02,0.51,0.002
bapred,P42866,Family A G protein-coupled receptor,32,0.824,0.679,0.089,0.188,0.105,0.553,-0.006
bapred,P43166,Lyase,116,1.091,1.19,0.298,0.276,0.185,0.593,0.012
bapred,P43490,Unclassified protein,17,1.912,3.657,0.491,0.581,0.418,0.712,0.169
bapred,P49759,Kinase,20,1.159,1.343,-0.258,-0.305,-0.201,0.399,0.011
bapred,P49841,Kinase,16,0.59,0.349,0.802,0.776,0.577,0.79,0.626
bapred,P50406,Family A G protein-coupled receptor,76,1.017,1.035,0.092,0.153,0.098,0.549,0.002
bapred,P51449,Transcription factor,59,0.881,0.776,0.167,0.085,0.053,0.526,0.012
bapred,P52333,Kinase,20,0.68,0.463,0.787,0.272,0.212,0.606,0.557
bapred,Q00987,Other nuclear protein,88,1.025,1.051,0.762,0.716,0.523,0.762,0.517
bapred,Q03111,Epigenetic regulator,45,0.854,0.73,0.429,0.4,0.26,0.63,0.111
bapred,Q03181,Transcription factor,18,0.93,0.865,0.26,0.222,0.163,0.582,0.042
bapred,Q06124,Phosphatase,32,0.808,0.653,0.213,0.233,0.162,0.581,0.024
bapred,Q12809,Ion channel,95,1.628,2.649,-0.012,-0.106,-0.074,0.463,0.0
bapred,Q13546,Kinase,47,1.393,1.941,0.51,0.444,0.289,0.645,-0.201
bapred,Q13547,Epigenetic regulator,31,1.102,1.214,0.26,0.335,0.211,0.606,0.046
bapred,Q13627,Kinase,18,2.185,4.775,-0.613,-0.585,-0.425,0.288,-0.254
bapred,Q15910,Epigenetic regulator,36,1.383,1.913,0.157,0.157,0.094,0.547,-0.008
bapred,Q16790,Lyase,203,0.834,0.696,0.322,0.31,0.203,0.602,0.023
bapred,Q72547,Hydrolase,23,1.058,1.12,0.521,0.529,0.356,0.679,0.198
bapred,Q92918,Kinase,132,1.058,1.12,0.004,-0.009,-0.006,0.497,0.0
bapred,Q96P20,Unclassified protein,69,1.532,2.346,-0.017,-0.074,-0.038,0.481,0.0
bapred,Q96SW2,Unclassified protein,21,0.53,0.281,0.073,0.061,0.053,0.527,0.0
bapred,Q99538,Protease,40,2.01,4.041,-0.121,-0.013,0.01,0.505,-0.008
bapred,Q9NXA8,Epigenetic regulator,36,1.434,2.055,-0.266,-0.311,-0.194,0.403,-0.005
llf,C7C422,Hydrolase,22,1.207,1.458,-0.147,0.164,0.139,0.57,0.006
llf,O00444,Kinase,92,0.933,0.871,0.321,0.359,0.221,0.61,0.058
llf,O43570,Lyase,189,0.75,0.563,0.274,0.257,0.176,0.588,0.031
llf,O60341,Epigenetic regulator,70,2.287,5.232,0.466,0.453,0.309,0.655,0.18
llf,O60674,Kinase,22,1.157,1.339,0.228,0.284,0.157,0.579,0.022
llf,O60885,Epigenetic regulator,175,0.965,0.931,0.505,0.571,0.402,0.701,0.23
llf,O75116,Kinase,43,1.895,3.591,0.071,-0.079,-0.049,0.476,0.002
llf,O75874,Oxidoreductase,27,1.092,1.192,0.406,0.296,0.203,0.602,0.159
llf,O94925,Hydrolase,73,1.149,1.32,0.557,0.512,0.351,0.676,0.146
llf,O96028,Epigenetic regulator,30,0.517,0.267,0.421,0.318,0.224,0.612,0.127
llf,P00533,Kinase,102,1.37,1.878,-0.168,-0.154,-0.103,0.448,0.007
llf,P00915,Lyase,240,1.016,1.032,0.111,0.113,0.077,0.539,0.005
llf,P00918,Lyase,256,1.562,2.44,0.089,0.054,0.037,0.519,0.004
llf,P01116,Hydrolase,32,1.006,1.013,0.676,0.694,0.481,0.741,0.367
llf,P03372,Transcription factor,64,2.914,8.489,-0.633,-0.576,-0.397,0.301,-0.113
llf,P04629,Kinase,19,0.573,0.329,0.822,0.87,0.719,0.86,0.488
llf,P06276,Hydrolase,112,1.046,1.095,0.119,0.141,0.103,0.552,0.01
llf,P07333,Kinase,25,1.487,2.211,0.177,0.222,0.151,0.576,0.013
llf,P08183,Transporter,83,2.462,6.059,0.104,0.015,0.011,0.505,0.007
llf,P08684,Cytochrome p450,36,2.309,5.333,-0.49,-0.539,-0.361,0.319,0.003
llf,P08908,Family A G protein-coupled receptor,46,1.418,2.012,0.419,0.407,0.234,0.617,0.171
llf,P0DTD1,Transferase,698,1.696,2.875,0.27,0.286,0.193,0.596,0.059
llf,P10275,Transcription factor,36,1.19,1.417,0.171,0.123,0.094,0.547,0.02
llf,P14416,Family A G protein-coupled receptor,126,1.917,3.674,0.202,0.126,0.083,0.542,0.035
llf,P17931,Unclassified protein,37,1.195,1.427,-0.072,-0.088,-0.054,0.473,-0.003
llf,P21728,Family A G protein-coupled receptor,18,1.282,1.643,-0.13,-0.059,-0.033,0.484,0.006
llf,P22303,Hydrolase,102,1.598,2.553,0.181,0.358,0.24,0.62,0.028
llf,P23458,Kinase,43,3.159,9.978,0.391,0.412,0.269,0.635,0.128
llf,P24941,Kinase,30,1.283,1.645,-0.119,-0.243,-0.168,0.416,0.006
llf,P27338,Oxidoreductase,91,1.505,2.265,-0.156,-0.171,-0.1,0.45,0.01
llf,P28223,Family A G protein-coupled receptor,54,1.009,1.019,0.524,0.468,0.356,0.678,0.233
llf,P28335,Family A G protein-coupled receptor,22,2.085,4.347,0.382,0.363,0.254,0.627,0.09
llf,P28907,Hydrolase|Transferase,12,2.346,5.502,-0.041,0.091,0.092,0.547,0.001
llf,P29274,Family A G protein-coupled receptor,40,1.797,3.228,0.317,0.099,0.058,0.529,0.083
llf,P29597,Kinase,21,0.885,0.783,0.794,0.6,0.407,0.706,0.504
llf,P31153,Transferase,33,2.639,6.962,0.688,0.764,0.563,0.782,0.399
llf,P34972,Family A G protein-coupled receptor,27,1.05,1.103,0.193,0.183,0.111,0.556,0.025
llf,P35372,Family A G protein-coupled receptor,34,2.224,4.947,0.32,0.352,0.241,0.621,0.093
llf,P35408,Family A G protein-coupled receptor,54,1.327,1.76,0.463,0.395,0.265,0.636,0.165
llf,P35462,Family A G protein-coupled receptor,65,1.155,1.335,0.349,0.273,0.192,0.596,0.115
llf,P36544,Ion channel,31,1.001,1.002,-0.087,0.033,0.024,0.512,0.001
llf,P37231,Transcription factor,15,3.803,14.465,0.043,-0.05,0.048,0.524,0.001
llf,P41143,Family A G protein-coupled receptor,41,0.646,0.417,0.606,0.558,0.389,0.693,0.299
llf,P41145,Family A G protein-coupled receptor,34,1.379,1.901,0.23,0.105,0.03,0.515,0.049
llf,P42330,Oxidoreductase,60,1.255,1.575,0.031,0.01,-0.006,0.497,0.0
llf,P42336,Transferase,38,1.593,2.537,-0.269,-0.204,-0.132,0.434,0.004
llf,P42345,Kinase,52,1.722,2.966,0.323,0.321,0.221,0.611,0.065
llf,P42866,Family A G protein-coupled receptor,32,1.116,1.246,-0.116,-0.116,-0.064,0.469,0.003
llf,P43166,Lyase,116,1.192,1.422,-0.112,-0.06,-0.046,0.477,0.003
llf,P43490,Unclassified protein,17,2.588,6.698,0.763,0.384,0.302,0.64,0.472
llf,P49759,Kinase,20,1.005,1.01,-0.262,-0.251,-0.19,0.404,-0.008
llf,P49841,Kinase,16,0.914,0.836,0.795,0.787,0.594,0.798,0.573
llf,P50406,Family A G protein-coupled receptor,76,1.016,1.032,0.332,0.336,0.23,0.615,0.085
llf,P51449,Transcription factor,59,1.051,1.105,0.109,0.125,0.079,0.54,0.006
llf,P52333,Kinase,20,0.76,0.577,0.736,0.632,0.451,0.726,0.454
llf,Q00987,Other nuclear protein,88,1.729,2.988,0.81,0.772,0.568,0.785,0.426
llf,Q03111,Epigenetic regulator,45,0.888,0.788,0.251,0.116,0.073,0.537,0.052
llf,Q03181,Transcription factor,18,2.844,8.088,0.307,0.428,0.294,0.647,0.082
llf,Q06124,Phosphatase,32,0.926,0.858,-0.007,0.1,0.081,0.54,0.0
llf,Q12809,Ion channel,95,3.752,14.079,0.032,0.048,0.038,0.519,0.001
llf,Q13546,Kinase,47,0.655,0.429,0.578,0.592,0.402,0.702,0.146
llf,Q13547,Epigenetic regulator,31,1.413,1.997,0.022,0.026,-0.032,0.484,0.0
llf,Q13627,Kinase,18,1.46,2.133,-0.269,-0.356,-0.359,0.32,-0.047
llf,Q15910,Epigenetic regulator,36,0.7,0.49,0.299,0.26,0.183,0.592,0.039
llf,Q16790,Lyase,203,1.081,1.169,0.185,0.218,0.14,0.57,0.008
llf,Q72547,Hydrolase,23,1.885,3.553,-0.48,-0.322,-0.143,0.429,-0.061
llf,Q92918,Kinase,132,1.227,1.506,0.172,0.111,0.077,0.539,0.022
llf,Q96P20,Unclassified protein,69,1.268,1.609,0.267,0.217,0.142,0.571,0.06
llf,Q96SW2,Unclassified protein,21,1.72,2.959,0.203,0.392,0.284,0.644,0.011
llf,Q99538,Protease,40,1.049,1.1,0.62,0.52,0.386,0.693,0.364
llf,Q9NXA8,Epigenetic regulator,36,1.734,3.005,0.188,0.273,0.175,0.588,0.018
mixingdta,C7C422,Hydrolase,22,1.334,1.779,0.017,0.304,0.208,0.604,0.0
mixingdta,O00444,Kinase,92,1.51,2.28,0.228,0.283,0.166,0.583,0.016
mixingdta,O43570,Lyase,189,0.8,0.641,0.202,0.144,0.098,0.549,0.017
mixingdta,O60341,Epigenetic regulator,70,1.179,1.389,0.352,0.373,0.252,0.626,0.077
mixingdta,O60674,Kinase,22,1.102,1.215,0.391,0.481,0.375,0.689,0.141
mixingdta,O60885,Epigenetic regulator,175,1.189,1.413,0.245,0.205,0.121,0.56,0.038
mixingdta,O75116,Kinase,43,1.183,1.4,-0.048,-0.187,-0.138,0.431,0.001
mixingdta,O75874,Oxidoreductase,27,1.371,1.88,-0.337,-0.336,-0.243,0.378,0.048
mixingdta,O94925,Hydrolase,73,0.592,0.35,0.501,0.456,0.323,0.662,0.072
mixingdta,O96028,Epigenetic regulator,30,1.335,1.781,-0.261,-0.101,-0.071,0.464,-0.042
mixingdta,P00533,Kinase,102,1.217,1.481,-0.037,-0.037,-0.028,0.486,0.0
mixingdta,P00915,Lyase,240,1.105,1.222,0.216,0.175,0.12,0.56,0.025
mixingdta,P00918,Lyase,256,1.081,1.169,0.263,0.222,0.153,0.577,0.031
mixingdta,P01116,Hydrolase,32,2.405,5.786,0.069,-0.185,-0.141,0.429,0.003
mixingdta,P03372,Transcription factor,64,2.14,4.582,-0.675,-0.686,-0.475,0.261,-0.129
mixingdta,P04629,Kinase,19,0.626,0.392,0.79,0.675,0.485,0.743,0.476
mixingdta,P06276,Hydrolase,112,1.317,1.735,-0.025,-0.036,-0.021,0.489,0.0
mixingdta,P07333,Kinase,25,0.958,0.918,0.526,0.409,0.305,0.653,0.273
mixingdta,P08183,Transporter,83,2.21,4.883,0.013,0.018,0.012,0.506,0.0
mixingdta,P08684,Cytochrome p450,36,1.757,3.086,-0.739,-0.731,-0.502,0.248,-0.263
mixingdta,P08908,Family A G protein-coupled receptor,46,1.038,1.078,0.238,0.288,0.201,0.601,0.052
mixingdta,P0DTD1,Transferase,698,1.406,1.978,0.19,0.211,0.14,0.57,0.019
mixingdta,P10275,Transcription factor,36,1.468,2.155,-0.006,0.04,0.03,0.515,0.0
mixingdta,P14416,Family A G protein-coupled receptor,126,1.133,1.284,-0.118,-0.105,-0.063,0.469,0.006
mixingdta,P17931,Unclassified protein,37,1.672,2.797,-0.239,-0.276,-0.194,0.403,-0.09
mixingdta,P21728,Family A G protein-coupled receptor,18,1.206,1.454,0.495,0.581,0.386,0.693,0.233
mixingdta,P22303,Hydrolase,102,2.499,6.247,0.004,0.134,0.086,0.543,0.0
mixingdta,P23458,Kinase,43,2.031,4.123,0.669,0.676,0.485,0.743,0.307
mixingdta,P24941,Kinase,30,1.182,1.397,-0.157,-0.249,-0.182,0.409,0.004
mixingdta,P27338,Oxidoreductase,91,1.209,1.463,0.138,0.167,0.113,0.557,0.013
mixingdta,P28223,Family A G protein-coupled receptor,54,1.108,1.228,0.128,0.053,0.057,0.528,0.012
mixingdta,P28335,Family A G protein-coupled receptor,22,1.33,1.77,-0.011,0.001,-0.022,0.489,0.0
mixingdta,P28907,Hydrolase|Transferase,12,1.43,2.045,0.277,0.161,0.123,0.562,0.073
mixingdta,P29274,Family A G protein-coupled receptor,40,1.977,3.909,0.185,0.178,0.117,0.559,0.021
mixingdta,P29597,Kinase,21,1.517,2.302,0.471,0.5,0.387,0.696,0.206
mixingdta,P31153,Transferase,33,0.988,0.976,0.659,0.548,0.388,0.695,0.244
mixingdta,P34972,Family A G protein-coupled receptor,27,1.66,2.756,0.298,0.18,0.123,0.561,0.065
mixingdta,P35372,Family A G protein-coupled receptor,34,1.966,3.866,0.341,0.442,0.31,0.655,0.114
mixingdta,P35408,Family A G protein-coupled receptor,54,1.258,1.583,0.371,0.357,0.244,0.625,0.121
mixingdta,P35462,Family A G protein-coupled receptor,65,1.252,1.566,0.051,0.013,0.009,0.505,0.002
mixingdta,P36544,Ion channel,31,1.018,1.036,-0.096,-0.181,-0.127,0.436,-0.0
mixingdta,P37231,Transcription factor,15,1.717,2.948,-0.664,-0.678,-0.51,0.243,-0.178
mixingdta,P41143,Family A G protein-coupled receptor,41,1.948,3.796,0.651,0.332,0.198,0.6,0.392
mixingdta,P41145,Family A G protein-coupled receptor,34,1.556,2.42,0.211,0.243,0.159,0.579,0.036
mixingdta,P42330,Oxidoreductase,60,0.928,0.861,-0.132,-0.057,-0.043,0.479,-0.002
mixingdta,P42336,Transferase,38,1.125,1.266,-0.013,-0.093,-0.067,0.466,0.0
mixingdta,P42345,Kinase,52,0.768,0.59,0.519,0.51,0.383,0.692,0.186
mixingdta,P42866,Family A G protein-coupled receptor,32,0.877,0.77,0.108,0.083,0.061,0.53,0.01
mixingdta,P43166,Lyase,116,0.72,0.518,0.335,0.275,0.191,0.596,0.067
mixingdta,P43490,Unclassified protein,17,2.122,4.501,0.892,0.345,0.269,0.636,0.393
mixingdta,P49759,Kinase,20,0.947,0.898,-0.27,-0.135,-0.106,0.447,-0.009
mixingdta,P49841,Kinase,16,1.465,2.146,0.655,0.355,0.259,0.63,0.304
mixingdta,P50406,Family A G protein-coupled receptor,76,1.034,1.07,-0.141,-0.14,-0.102,0.449,0.005
mixingdta,P51449,Transcription factor,59,0.815,0.664,0.352,0.286,0.206,0.603,0.121
mixingdta,P52333,Kinase,20,0.682,0.464,0.852,0.681,0.54,0.771,0.436
mixingdta,Q00987,Other nuclear protein,88,1.417,2.009,0.831,0.835,0.629,0.815,0.454
mixingdta,Q03111,Epigenetic regulator,45,0.885,0.783,0.461,0.337,0.254,0.627,0.208
mixingdta,Q03181,Transcription factor,18,1.088,1.184,-0.448,-0.401,-0.32,0.34,0.021
mixingdta,Q06124,Phosphatase,32,0.85,0.723,0.449,0.464,0.335,0.668,0.157
mixingdta,Q12809,Ion channel,95,2.528,6.392,0.131,0.13,0.087,0.544,0.008
mixingdta,Q13546,Kinase,47,0.684,0.468,0.487,0.436,0.3,0.651,0.097
mixingdta,Q13547,Epigenetic regulator,31,1.543,2.382,-0.213,-0.287,-0.164,0.418,0.014
mixingdta,Q13627,Kinase,18,1.318,1.737,-0.34,-0.112,-0.111,0.444,-0.044
mixingdta,Q15910,Epigenetic regulator,36,0.684,0.467,0.02,0.166,0.126,0.563,0.0
mixingdta,Q16790,Lyase,203,0.761,0.58,0.292,0.308,0.208,0.604,0.043
mixingdta,Q72547,Hydrolase,23,1.522,2.317,0.036,0.272,0.19,0.595,0.001
mixingdta,Q92918,Kinase,132,0.851,0.724,0.106,0.101,0.073,0.537,0.005
mixingdta,Q96P20,Unclassified protein,69,1.327,1.762,0.309,0.232,0.171,0.586,0.069
mixingdta,Q96SW2,Unclassified protein,21,0.549,0.302,0.301,0.455,0.284,0.644,0.053
mixingdta,Q99538,Protease,40,1.41,1.987,0.243,0.178,0.118,0.559,0.035
mixingdta,Q9NXA8,Epigenetic regulator,36,1.722,2.967,-0.247,-0.173,-0.115,0.442,0.019
deepdta,C7C422,Hydrolase,22,1.283,1.647,-0.072,0.059,0.113,0.557,0.001
deepdta,O00444,Kinase,92,1.69,2.856,0.181,0.201,0.121,0.56,0.011
deepdta,O43570,Lyase,189,0.918,0.842,0.247,0.186,0.127,0.564,0.015
deepdta,O60341,Epigenetic regulator,70,1.662,2.763,-0.179,-0.191,-0.132,0.434,0.007
deepdta,O60674,Kinase,22,1.588,2.523,0.317,0.544,0.383,0.693,0.029
deepdta,O60885,Epigenetic regulator,175,1.22,1.489,0.482,0.558,0.376,0.688,0.187
deepdta,O75116,Kinase,43,1.381,1.908,0.225,0.052,0.013,0.507,0.038
deepdta,O75874,Oxidoreductase,27,1.573,2.473,0.289,0.225,0.177,0.589,0.081
deepdta,O94925,Hydrolase,73,2.178,4.745,0.587,0.604,0.423,0.712,0.193
deepdta,O96028,Epigenetic regulator,30,0.77,0.592,-0.134,-0.088,-0.048,0.476,0.0
deepdta,P00533,Kinase,102,1.718,2.953,0.098,0.182,0.111,0.555,0.002
deepdta,P00915,Lyase,240,1.109,1.229,0.122,0.135,0.087,0.544,0.004
